Published,ISOWeek,Updated,ID,Version,Title,Categories
2026-04-13T17:59:58Z,16,2026-04-13T17:59:58Z,2604.11809,1,'Who Handles Orientation? Investigating Invariance in Feature Matching',cs.CV
2026-04-13T17:59:55Z,16,2026-04-13T17:59:55Z,2604.11808,1,'Pair2Scene: Learning Local Object Relations for Procedural Scene Generation',cs.CV
2026-04-13T17:59:49Z,16,2026-04-13T17:59:49Z,2604.11807,1,'Physics-Informed State Space Models for Reliable Solar Irradiance Forecasting in Off-Grid Systems',cs.LG;cs.AI;eess.SY
2026-04-13T17:59:40Z,16,2026-04-13T17:59:40Z,2604.11806,1,'Detecting Safety Violations Across Many Agent Traces',cs.AI;cs.CL
2026-04-13T17:59:40Z,16,2026-04-13T17:59:40Z,2604.11805,1,'Solving Physics Olympiad via Reinforcement Learning on Physics Simulators',cs.LG;cs.AI;cs.CV;cs.RO
2026-04-13T17:59:12Z,16,2026-04-13T17:59:12Z,2604.11804,1,'OmniShow: Unifying Multimodal Conditions for Human-Object Interaction Video Generation',cs.CV
2026-04-13T17:59:11Z,16,2026-04-13T17:59:11Z,2604.11803,1,'Saar-Voice: A Multi-Speaker Saarbrücken Dialect Speech Corpus',cs.CL
2026-04-13T17:58:49Z,16,2026-04-13T17:58:49Z,2604.11802,1,'Psychological Concept Neurons: Can Neural Control Bias Probing and Shift Generation in LLMs?',cs.CL
2026-04-13T17:58:43Z,16,2026-04-13T17:58:43Z,2604.11801,1,'CLSGen: A Dual-Head Fine-Tuning Framework for Joint Probabilistic Classification and Verbalized Explanation',cs.CL
2026-04-13T17:58:15Z,16,2026-04-13T17:58:15Z,2604.11798,1,'Budget-Aware Uncertainty for Radiotherapy Segmentation QA Using nnU-Net',cs.CV;cs.AI
2026-04-13T17:58:06Z,16,2026-04-13T17:58:06Z,2604.11797,1,'SyncFix: Fixing 3D Reconstructions via Multi-View Synchronization',cs.CV
2026-04-13T17:56:27Z,16,2026-04-13T17:56:27Z,2604.11796,1,'C-ReD: A Comprehensive Chinese Benchmark for AI-Generated Text Detection Derived from Real-World Prompts',cs.CL;cs.AI
2026-04-13T17:55:47Z,16,2026-04-13T17:55:47Z,2604.11793,1,'Disentangled Point Diffusion for Precise Object Placement',cs.RO
2026-04-13T17:55:40Z,16,2026-04-13T17:55:40Z,2604.11792,1,'LottieGPT: Tokenizing Vector Animation for Autoregressive Generation',cs.CV
2026-04-13T17:55:36Z,16,2026-04-13T17:55:36Z,2604.11791,1,'A Mechanistic Analysis of Looped Reasoning Language Models',cs.LG;cs.AI
2026-04-13T17:55:11Z,16,2026-04-13T17:55:11Z,2604.11790,1,'ClawGuard: A Runtime Security Framework for Tool-Augmented LLM Agents Against Indirect Prompt Injection',cs.CR;cs.AI
2026-04-13T17:55:02Z,16,2026-04-13T17:55:02Z,2604.11789,1,"'LMMs Meet Object-Centric Vision: Understanding, Segmentation, Editing and Generation'",cs.CV
2026-04-13T17:55:02Z,16,2026-04-13T17:55:02Z,2604.11788,1,'HDR Video Generation via Latent Alignment with Logarithmic Encoding',cs.CV
2026-04-13T17:53:49Z,16,2026-04-13T17:53:49Z,2604.11786,1,'GenTac: Generative Modeling and Forecasting of Soccer Tactics',cs.AI;cs.MA
2026-04-13T17:52:04Z,16,2026-04-13T17:52:04Z,2604.11784,1,"'ClawGUI: A Unified Framework for Training, Evaluating, and Deploying GUI Agents'",cs.LG;cs.AI;cs.CL;cs.CV
2026-04-13T17:44:25Z,16,2026-04-13T17:44:25Z,2604.11778,1,'General365: Benchmarking General Reasoning in Large Language Models Across Diverse and Challenging Tasks',cs.CL;cs.AI
2026-04-13T17:43:33Z,16,2026-04-13T17:43:33Z,2604.11775,1,'Efficient KernelSHAP Explanations for Patch-based 3D Medical Image Segmentation',cs.CV;cs.AI
2026-04-13T17:42:19Z,16,2026-04-13T17:42:19Z,2604.11773,1,'Autonomous Diffractometry Enabled by Visual Reinforcement Learning',cs.LG;cond-mat.mtrl-sci;cs.CV
2026-04-13T17:39:55Z,16,2026-04-13T17:39:55Z,2604.11768,1,'Identifying Inductive Biases for Robot Co-Design',cs.RO
2026-04-13T17:36:01Z,16,2026-04-13T17:36:01Z,2604.11762,1,'MosaicMRI: A Diverse Dataset and Benchmark for Raw Musculoskeletal MRI',cs.CV;cs.LG;eess.SP;physics.med-ph;stat.ML
2026-04-13T17:31:14Z,16,2026-04-13T17:31:14Z,2604.11759,1,'Retrieval Is Not Enough: Why Organizational AI Needs Epistemic Infrastructure',cs.AI
2026-04-13T17:30:01Z,16,2026-04-13T17:30:01Z,2604.11757,1,'StarVLA-$α$: Reducing Complexity in Vision-Language-Action Systems',cs.RO;cs.AI;cs.CV
2026-04-13T17:28:08Z,16,2026-04-13T17:28:08Z,2604.11754,1,'Angle-based Localization and Rigidity Maintenance Control for Multi-Robot Networks',eess.SY;cs.RO
2026-04-13T17:26:31Z,16,2026-04-13T17:26:31Z,2604.11753,1,'Agentic Aggregation for Parallel Scaling of Long-Horizon Agentic Tasks',cs.CL
2026-04-13T17:25:41Z,16,2026-04-13T17:25:41Z,2604.11751,1,'Grounded World Model for Semantically Generalizable Planning',cs.RO;cs.AI
2026-04-13T17:22:02Z,16,2026-04-13T17:22:02Z,2604.11749,1,'HistLens: Mapping Idea Change across Concepts and Corpora',cs.CL
2026-04-13T17:21:41Z,16,2026-04-13T17:21:41Z,2604.11748,1,'LangFlow: Continuous Diffusion Rivals Discrete in Language Modeling',cs.CL;cs.LG
2026-04-13T17:18:20Z,16,2026-04-13T17:18:20Z,2604.11744,1,'KL Divergence Between Gaussians: A Step-by-Step Derivation for the Variational Autoencoder Objective',cs.LG
2026-04-13T17:17:22Z,16,2026-04-13T17:17:22Z,2604.11742,1,'Discourse Diversity in Multi-Turn Empathic Dialogue',cs.CL;cs.AI
2026-04-13T17:16:23Z,16,2026-04-13T17:16:23Z,2604.11741,1,'Collaborative Multi-Agent Scripts Generation for Enhancing Imperfect-Information Reasoning in Murder Mystery Games',cs.AI
2026-04-13T17:14:47Z,16,2026-04-13T17:14:47Z,2604.11737,1,'Learning Long-term Motion Embeddings for Efficient Kinematics Generation',cs.CV
2026-04-13T17:13:46Z,16,2026-04-13T17:13:46Z,2604.11734,1,'Multi-ORFT: Stable Online Reinforcement Fine-Tuning for Multi-Agent Diffusion Planning in Cooperative Driving',cs.RO;cs.AI
2026-04-13T17:08:47Z,16,2026-04-13T17:08:47Z,2604.11733,1,"'Endogenous Information in Routing Games: Memory-Constrained Equilibria, Recall Braess Paradoxes, and Memory Design'",cs.GT;cs.AI;cs.IT
2026-04-13T17:05:38Z,16,2026-04-13T17:05:38Z,2604.11730,1,'Ambivalence/Hesitancy Recognition in Videos for Personalized Digital Health Interventions',cs.CV;cs.HC;cs.LG
2026-04-13T17:03:53Z,16,2026-04-13T17:03:53Z,2604.11729,1,'Universality of first-order methods on random and deterministic matrices',math.PR;cs.DS;cs.LG;math.ST
2026-04-13T16:58:57Z,16,2026-04-13T16:58:57Z,2604.11724,1,'The Devil is in the Details -- From OCR for Old Church Slavonic to Purely Visual Stemma Reconstruction',cs.CV
2026-04-13T16:57:11Z,16,2026-04-13T16:57:11Z,2604.11721,1,'Evaluating Cooperation in LLM Social Groups through Elected Leadership',cs.CL;cs.AI;cs.LG
2026-04-13T16:56:48Z,16,2026-04-13T16:56:48Z,2604.11720,1,'On the Robustness of Watermarking for Autoregressive Image Generation',cs.CV;cs.AI;cs.CR
2026-04-13T16:52:34Z,16,2026-04-13T16:52:34Z,2604.11716,1,'SWE-AGILE: A Software Agent Framework for Efficiently Managing Dynamic Reasoning Context',cs.AI;cs.CL
2026-04-13T16:50:05Z,16,2026-04-13T16:50:05Z,2604.11714,1,'BEM: Training-Free Background Embedding Memory for False-Positive Suppression in Real-Time Fixed-Background Camera',cs.CV
2026-04-13T16:46:34Z,16,2026-04-13T16:46:34Z,2604.11711,1,'Seeing Through the Tool: A Controlled Benchmark for Occlusion Robustness in Foundation Segmentation Models',cs.CV
2026-04-13T16:43:16Z,16,2026-04-13T16:43:16Z,2604.11709,1,'A Mamba-Based Multimodal Network for Multiscale Blast-Induced Rapid Structural Damage Assessment',cs.AI
2026-04-13T16:42:48Z,16,2026-04-13T16:42:48Z,2604.11708,1,'ACT: Automated CPS Testing for Open-Source Robotic Platforms',cs.RO;cs.SE;eess.SY
2026-04-13T16:42:46Z,16,2026-04-13T16:42:46Z,2604.11707,1,'Representations Before Pixels: Semantics-Guided Hierarchical Video Prediction',cs.CV
2026-04-13T16:42:19Z,16,2026-04-13T16:42:19Z,2604.11705,1,'Agentic Driving Coach: Robustness and Determinism of Agentic AI-Powered Human-in-the-Loop Cyber-Physical Systems',cs.AI;cs.CL;cs.RO;eess.SY
2026-04-13T16:40:26Z,16,2026-04-13T16:40:26Z,2604.11704,1,'Fairness is Not Flat: Geometric Phase Transitions Against Shortcut Learning',cs.LG;cs.AI
2026-04-13T16:38:36Z,16,2026-04-13T16:38:36Z,2604.11703,1,'DreamKG: A KG-Augmented Conversational System for People Experiencing Homelessness',cs.AI
2026-04-13T16:36:48Z,16,2026-04-13T16:36:48Z,2604.11699,1,'Legal2LogicICL: Improving Generalization in Transforming Legal Cases to Logical Formulas via Diverse Few-Shot Learning',cs.CL;cs.AI;cs.LG
2026-04-13T16:30:35Z,16,2026-04-13T16:30:35Z,2604.11689,1,'LARY: A Latent Action Representation Yielding Benchmark for Generalizable Vision-to-Action Alignment',cs.CV;cs.RO
2026-04-13T16:30:15Z,16,2026-04-13T16:30:15Z,2604.11687,1,'Please Make it Sound like Human: Encoder-Decoder vs. Decoder-Only Transformers for AI-to-Human Text Style Transfer',cs.CL
2026-04-13T16:28:35Z,16,2026-04-13T16:28:35Z,2604.11685,1,'Unfolding 3D Gaussian Splatting via Iterative Gaussian Synopsis',cs.CV
2026-04-13T16:24:08Z,16,2026-04-13T16:24:08Z,2604.11680,1,'Dual-Control Frequency-Aware Diffusion Model for Depth-Dependent Optical Microrobot Microscopy Image Generation',cs.RO
2026-04-13T16:23:46Z,16,2026-04-13T16:23:46Z,2604.11679,1,'Towards Brain MRI Foundation Models for the Clinic: Findings from the FOMO25 Challenge',cs.CV
2026-04-13T16:21:44Z,16,2026-04-13T16:21:44Z,2604.11674,1,'AffordSim: A Scalable Data Generator and Benchmark for Affordance-Aware Robotic Manipulation',cs.RO;cs.AI
2026-04-13T16:19:55Z,16,2026-04-13T16:19:55Z,2604.11673,1,'NetworkNet: A Deep Neural Network Approach for Random Networks with Sparse Nodal Attributes and Complex Nodal Heterogeneity',stat.ME;cs.AI;math.ST;stat.CO
2026-04-13T16:16:28Z,16,2026-04-13T16:16:28Z,2604.11671,1,'VLMaterial: Vision-Language Model-Based Camera-Radar Fusion for Physics-Grounded Material Identification',eess.SP;cs.RO
2026-04-13T16:14:49Z,16,2026-04-13T16:14:49Z,2604.11668,1,'UNIGEOCLIP: Unified Geospatial Contrastive Learning',cs.CV
2026-04-13T16:14:41Z,16,2026-04-13T16:14:41Z,2604.11666,1,'Playing Along: Learning a Double-Agent Defender for Belief Steering via Theory of Mind',cs.CL;cs.AI;cs.LG
2026-04-13T16:13:17Z,16,2026-04-13T16:13:17Z,2604.11665,1,"'Beyond LLMs, Sparse Distributed Memory, and Neuromorphics <A Hyper-Dimensional SRAM-CAM VaCoAl for Ultra-High Speed, Ultra-Low Power, and Low Cost>'",cs.NE;cs.AI
2026-04-13T16:11:38Z,16,2026-04-13T16:11:38Z,2604.11663,1,'Why Do Large Language Models Generate Harmful Content?',cs.AI
2026-04-13T16:11:33Z,16,2026-04-13T16:11:33Z,2604.11662,1,'Hidden Failures in Robustness: Why Supervised Uncertainty Quantification Needs Better Evaluation',cs.CL
2026-04-13T16:10:44Z,16,2026-04-13T16:10:44Z,2604.11661,1,'Towards Autonomous Mechanistic Reasoning in Virtual Cells',cs.LG;cs.AI
2026-04-13T16:09:26Z,16,2026-04-13T16:09:26Z,2604.11659,1,'GPU Acceleration of Sparse Fully Homomorphic Encrypted DNNs',cs.CR;cs.DC;cs.DS;cs.LG;cs.PF
2026-04-13T16:08:03Z,16,2026-04-13T16:08:03Z,2604.11655,1,'RPA-Check: A Multi-Stage Automated Framework for Evaluating Dynamic LLM-based Role-Playing Agents',cs.CL;cs.AI;cs.MA
2026-04-13T16:05:45Z,16,2026-04-13T16:05:45Z,2604.11653,1,'GazeVaLM: A Multi-Observer Eye-Tracking Benchmark for Evaluating Clinical Realism in AI-Generated X-Rays',cs.CV
2026-04-13T15:57:20Z,16,2026-04-13T15:57:20Z,2604.11645,1,'Performance Characterization of Frequency-Selective Wireless Power Transfer Toward Scalable Untethered Magnetic Actuation',eess.SY;cs.RO
2026-04-13T15:52:03Z,16,2026-04-13T15:52:03Z,2604.11641,1,'CodeTracer: Towards Traceable Agent States',cs.SE;cs.AI
2026-04-13T15:50:20Z,16,2026-04-13T15:50:20Z,2604.11640,1,"'Micro-Dexterity in Biological Micromanipulation: Embodiment, Perception, and Control'",cs.RO;eess.SY
